"id","user_profile_id","date","weight","height","created_at","updated_at"
"74","75","20/2/2022","160","60","8/1/2022 00:13:35","20/2/2022 22:45:51"
"75","76","17/1/2022","70","170","8/1/2022 18:28:08","17/1/2022 12:30:21"
"76","77","14/2/2022","25","135","9/1/2022 16:31:17","14/2/2022 16:22:54"
"77","78","9/1/2022","166","60","9/1/2022 23:03:48","9/1/2022 23:03:48"
"78","79","10/1/2022","88","188","10/1/2022 01:55:43","10/1/2022 01:55:43"
"79","80","13/1/2022","74","166","13/1/2022 10:07:43","13/1/2022 10:07:43"
"80","81","13/1/2022","65","155","13/1/2022 11:33:46","13/1/2022 11:33:46"
"81","82","19/1/2022","24.9","128","13/1/2022 12:31:47","19/1/2022 23:23:44"
"82","83","9/2/2023","45","150","14/1/2022 08:09:07","9/2/2023 13:39:36"
"83","84","14/1/2022","22","98","14/1/2022 12:32:52","14/1/2022 12:32:52"
"84","85","14/1/2022","59","165","14/1/2022 17:24:42","14/1/2022 17:24:42"
"85","86","18/1/2022","58","150","18/1/2022 01:24:00","18/1/2022 01:24:00"
"86","87","18/1/2022","55","167","18/1/2022 19:25:47","18/1/2022 19:25:47"
"87","88","19/1/2022","69","165","19/1/2022 02:28:17","19/1/2022 02:28:17"
"88","89","21/1/2022","39","156","21/1/2022 16:16:08","21/1/2022 16:16:08"
"89","90","27/1/2022","72.2","158","27/1/2022 10:36:06","27/1/2022 10:36:06"
"90","91","27/1/2022","20.4","107","27/1/2022 11:08:45","27/1/2022 11:08:45"
"91","92","27/1/2022","30","133","27/1/2022 11:20:17","27/1/2022 11:25:02"
"92","93","27/1/2022","674","447","27/1/2022 15:10:47","27/1/2022 15:10:47"
"93","94","30/1/2022","50","160","30/1/2022 07:47:47","30/1/2022 07:47:47"
"94","95","30/1/2022","160","80","30/1/2022 23:58:33","30/1/2022 23:58:33"
"95","96","31/1/2022","56","170","31/1/2022 12:59:33","31/1/2022 12:59:33"
"96","97","31/1/2022","5","55","31/1/2022 14:35:41","31/1/2022 14:35:41"
"97","98","3/2/2022","20.4","119","3/2/2022 10:20:00","3/2/2022 10:20:00"
"98","99","3/2/2022","64","168","3/2/2022 12:08:18","3/2/2022 12:08:18"
"99","100","3/2/2022","70","170","3/2/2022 18:10:00","3/2/2022 18:10:00"
"100","102","23/2/2022","18","112.5","4/2/2022 14:43:52","23/2/2022 06:36:41"
"101","103","4/2/2022","55","153","4/2/2022 14:53:22","4/2/2022 14:53:22"
"102","104","4/2/2022","65","160","4/2/2022 16:48:00","4/2/2022 16:48:00"
"103","105","7/2/2022","78","180","7/2/2022 15:19:25","7/2/2022 15:19:25"
"104","106","8/2/2022","128","185","8/2/2022 12:32:30","8/2/2022 12:32:30"
"105","107","9/2/2022","60","165","9/2/2022 20:40:48","9/2/2022 20:40:48"
"106","108","12/2/2022","95","154","12/2/2022 05:39:23","12/2/2022 05:39:23"
"107","109","12/2/2022","45","157","12/2/2022 18:13:40","12/2/2022 18:13:40"
"108","110","12/2/2022","23","120","12/2/2022 18:30:10","12/2/2022 18:30:10"
"109","111","13/2/2022","58","155","12/2/2022 19:09:13","13/2/2022 20:55:18"
"110","112","12/2/2022","26","124","12/2/2022 19:10:40","12/2/2022 19:10:40"
"111","113","17/2/2022","50","161","17/2/2022 10:54:56","17/2/2022 10:54:56"
"112","114","18/2/2022","51","159","18/2/2022 12:52:51","18/2/2022 12:52:51"
"113","115","18/2/2022","38.5","145","18/2/2022 14:19:07","18/2/2022 14:19:07"
"114","116","19/2/2022","75","170","19/2/2022 09:21:00","19/2/2022 09:21:00"
"115","117","19/2/2022","73.5","168","19/2/2022 15:47:15","19/2/2022 15:47:15"
"116","118","20/2/2022","68","172","20/2/2022 01:54:25","20/2/2022 01:54:25"
"117","119","21/2/2022","39","150","21/2/2022 18:39:59","21/2/2022 18:39:59"
"118","120","13/3/2022","42.8","155","26/2/2022 08:33:44","13/3/2022 20:02:44"
"119","121","26/2/2022","49","163","26/2/2022 11:22:12","26/2/2022 11:22:12"
"120","122","2/3/2022","45","159","2/3/2022 14:53:04","2/3/2022 14:53:04"
"121","123","2/3/2022","63","158","3/3/2022 00:08:06","3/3/2022 00:08:06"
"122","124","3/3/2022","51.2","150","3/3/2022 10:04:03","3/3/2022 10:04:03"
"123","125","6/3/2022","60","162","6/3/2022 18:03:56","6/3/2022 18:03:56"
"124","126","9/3/2022","82","173","9/3/2022 05:00:02","9/3/2022 05:00:02"
"125","127","9/3/2022","15","80","9/3/2022 13:52:24","9/3/2022 13:52:24"
"126","128","16/3/2022","20","115","17/3/2022 05:01:08","17/3/2022 05:01:08"
"127","129","22/3/2022","69","163","22/3/2022 14:06:13","22/3/2022 14:06:13"
"128","130","16/4/2022","64","170","16/4/2022 18:09:28","16/4/2022 18:09:28"
"129","131","20/4/2022","34","140","20/4/2022 13:44:15","20/4/2022 13:44:15"
"130","132","27/4/2022","56","157","27/4/2022 07:22:54","27/4/2022 07:22:54"
"131","133","7/6/2022","70","160","28/4/2022 14:30:08","7/6/2022 11:53:47"
"132","134","28/4/2022","60","165","28/4/2022 17:05:04","28/4/2022 17:05:04"
"133","135","6/5/2022","43","162","6/5/2022 13:26:51","6/5/2022 13:26:51"
"134","136","8/5/2022","61.5","170","8/5/2022 12:42:17","8/5/2022 12:42:17"
"135","137","9/5/2022","38","153","9/5/2022 17:15:16","9/5/2022 17:15:16"
"136","138","9/5/2022","160","73","11/5/2022 14:04:20","11/5/2022 14:04:20"
"137","139","25/5/2022","72.5","171.5","25/5/2022 14:11:12","25/5/2022 14:11:12"
"138","140","27/5/2022","90","170","27/5/2022 09:24:44","27/5/2022 09:24:44"
"139","141","4/6/2022","22","122","4/6/2022 07:36:27","4/6/2022 07:36:27"
"140","142","7/6/2022","68","165","7/6/2022 11:54:16","7/6/2022 11:54:16"
"141","143","7/6/2022","50","157","7/6/2022 11:55:07","7/6/2022 11:55:07"
"142","144","7/6/2022","67","165","7/6/2022 11:55:47","7/6/2022 11:55:47"
"143","145","7/6/2022","15.1","100","7/6/2022 12:13:15","7/6/2022 12:13:15"
"144","146","7/6/2022","60","164","7/6/2022 15:02:14","7/6/2022 15:02:14"
"145","147","7/6/2022","60","160","7/6/2022 15:02:19","7/6/2022 15:02:19"
"146","148","7/6/2022","16","123","7/6/2022 16:30:51","7/6/2022 16:30:51"
"147","149","9/6/2022","67","165","9/6/2022 01:25:50","9/6/2022 01:25:50"
"148","150","8/6/2022","23","96","9/6/2022 05:09:56","9/6/2022 05:09:56"
"149","151","10/6/2022","13","83","10/6/2022 14:38:48","10/6/2022 14:38:48"
"150","152","12/6/2022","55","155","12/6/2022 00:25:24","12/6/2022 00:25:24"
"151","153","12/6/2022","78","175","12/6/2022 11:20:58","12/6/2022 11:20:58"
"152","154","13/6/2022","45","156","13/6/2022 14:40:49","13/6/2022 14:40:49"
"153","155","14/6/2022","45","156","14/6/2022 12:16:50","14/6/2022 12:16:50"
"154","156","14/6/2022","45","154","14/6/2022 15:40:09","14/6/2022 15:40:09"
"155","157","14/6/2022","61","158","14/6/2022 21:49:49","14/6/2022 21:49:49"
"156","158","21/6/2022","80","160","21/6/2022 14:01:55","21/6/2022 14:01:55"
"157","159","22/6/2022","59","149","22/6/2022 14:47:11","22/6/2022 14:47:11"
"158","160","23/6/2022","60","164","23/6/2022 12:36:26","23/6/2022 12:36:26"
"159","161","27/6/2022","52","168","27/6/2022 13:07:01","27/6/2022 13:07:01"
"160","162","30/6/2022","70","172","30/6/2022 17:16:03","30/6/2022 17:16:03"
"161","163","6/7/2022","30","130","6/7/2022 10:45:57","6/7/2022 10:45:57"
"162","164","13/7/2022","50","162","13/7/2022 21:30:53","13/7/2022 21:30:53"
"163","165","18/7/2022","49","158","18/7/2022 20:04:10","18/7/2022 20:04:10"
"164","166","21/7/2022","73","155","21/7/2022 09:59:20","21/7/2022 09:59:20"
"165","167","21/7/2022","69","168","21/7/2022 10:45:53","21/7/2022 10:45:53"
"166","168","4/8/2022","25.3","120","21/7/2022 11:16:05","4/8/2022 14:24:58"
"167","169","23/7/2022","50","160","23/7/2022 03:30:18","23/7/2022 03:30:18"
"168","170","23/7/2022","170","50","23/7/2022 15:48:37","23/7/2022 15:48:37"
"169","171","23/7/2022","25","123","23/7/2022 20:50:50","23/7/2022 20:50:50"
"170","172","25/7/2022","94.5","173","25/7/2022 09:13:57","25/7/2022 09:13:57"
"171","173","25/7/2022","59","163","25/7/2022 11:24:28","25/7/2022 11:24:28"
"172","174","25/7/2022","22","100","25/7/2022 12:32:51","25/7/2022 12:32:51"
"173","175","27/7/2022","25.2","123","27/7/2022 14:10:54","27/7/2022 14:10:54"
"174","176","3/8/2022","48","150","3/8/2022 09:56:34","3/8/2022 09:56:34"
"175","177","3/8/2022","20","100","3/8/2022 10:27:33","3/8/2022 10:27:33"
"176","178","3/8/2022","158","45","3/8/2022 11:04:04","3/8/2022 11:04:04"
"177","179","3/8/2022","60","168","3/8/2022 11:49:02","3/8/2022 11:49:26"
"178","180","3/8/2022","152","49","3/8/2022 11:51:59","3/8/2022 11:51:59"
"179","181","26/11/2022","22","110","3/8/2022 14:57:09","26/11/2022 07:31:28"
"180","182","3/8/2022","58","167","3/8/2022 15:12:02","3/8/2022 15:12:02"
"181","183","3/8/2022","67","167","3/8/2022 15:16:14","3/8/2022 15:16:14"
"182","184","4/8/2022","50","158","4/8/2022 10:14:04","4/8/2022 10:14:04"
"183","185","4/8/2022","53","156","4/8/2022 10:18:34","4/8/2022 10:18:34"
"184","186","4/8/2022","49","164","4/8/2022 16:22:22","4/8/2022 16:22:22"
"185","187","5/8/2022","163","56","5/8/2022 13:04:19","5/8/2022 13:04:19"
"186","188","5/8/2022","62","164","5/8/2022 22:32:44","5/8/2022 22:32:44"
"187","189","7/8/2022","55","150","7/8/2022 15:22:14","7/8/2022 15:22:14"
"188","190","8/8/2022","71.1","146","8/8/2022 20:49:46","8/8/2022 20:49:46"
"189","191","10/8/2022","52","168","10/8/2022 13:55:51","10/8/2022 13:55:51"
"190","192","27/8/2022","71.1","158","27/8/2022 23:47:42","27/8/2022 23:47:42"
"191","193","29/8/2022","75","172","29/8/2022 10:38:20","29/8/2022 10:38:20"
"192","194","30/8/2022","58.7","169","30/8/2022 05:13:59","30/8/2022 05:13:59"
"193","195","1/9/2022","52","168","1/9/2022 11:25:37","1/9/2022 11:25:37"
"194","196","2/9/2022","40","154","2/9/2022 09:59:28","2/9/2022 09:59:28"
"195","197","2/9/2022","65.7","159","2/9/2022 10:31:08","2/9/2022 10:31:08"
"196","198","5/9/2022","45","159","5/9/2022 01:25:46","5/9/2022 01:25:46"
"197","199","5/9/2022","108","168","5/9/2022 04:26:36","5/9/2022 04:26:36"
"198","200","18/12/2022","15","106","6/9/2022 09:15:41","18/12/2022 14:43:39"
"199","201","8/2/2023","50.7","157","7/9/2022 12:22:42","8/2/2023 11:08:20"
"200","202","7/9/2022","56","167","7/9/2022 12:34:40","7/9/2022 12:34:40"
"201","203","12/9/2022","60.2","153","12/9/2022 11:32:39","12/9/2022 11:32:39"
"202","204","16/9/2022","70","178","16/9/2022 03:55:16","16/9/2022 03:55:16"
"203","205","20/10/2022","41","160","22/9/2022 09:57:00","20/10/2022 15:39:06"
"204","206","22/9/2022","59","157","22/9/2022 12:17:42","22/9/2022 12:17:42"
"205","207","2/12/2022","20","109","29/9/2022 09:56:07","2/12/2022 07:17:04"
"206","208","6/10/2022","28","131","6/10/2022 14:54:03","6/10/2022 14:54:03"
"207","209","10/10/2022","15","100","10/10/2022 18:18:30","10/10/2022 18:18:30"
"208","210","11/10/2022","76.5","168","11/10/2022 22:57:50","11/10/2022 22:57:50"
"209","211","13/10/2022","45","156","13/10/2022 17:25:57","13/10/2022 17:25:57"
"210","212","17/10/2022","54.6","160","17/10/2022 21:59:26","17/10/2022 21:59:26"
"211","213","28/10/2022","34","133","28/10/2022 11:19:04","28/10/2022 11:19:04"
"212","214","30/10/2022","66","175","30/10/2022 18:08:14","30/10/2022 18:08:14"
"213","215","31/10/2022","25","125","31/10/2022 13:25:55","31/10/2022 13:25:55"
"214","216","15/11/2022","46","152","15/11/2022 08:30:10","15/11/2022 08:30:10"
"215","217","15/11/2022","50","160","15/11/2022 09:34:55","15/11/2022 09:34:55"
"216","218","15/11/2022","63","163","15/11/2022 11:20:35","15/11/2022 11:20:35"
"217","219","16/11/2022","175","65","16/11/2022 16:21:41","16/11/2022 16:21:41"
"218","220","17/11/2022","35","150","17/11/2022 20:29:14","17/11/2022 20:29:14"
"219","221","18/11/2022","61","169","18/11/2022 12:04:26","18/11/2022 12:04:26"
"220","222","21/11/2022","35","130","21/11/2022 15:41:58","21/11/2022 15:41:58"
"221","223","22/11/2022","55","160","22/11/2022 14:09:47","22/11/2022 14:09:47"
"222","224","22/11/2022","44","155","22/11/2022 18:08:32","22/11/2022 18:08:32"
"223","225","23/11/2022","60","176","23/11/2022 14:20:58","23/11/2022 14:20:58"
"224","226","23/11/2022","54","157","23/11/2022 14:47:47","23/11/2022 14:47:47"
"225","227","23/11/2022","70","163","23/11/2022 17:29:33","23/11/2022 17:29:33"
"226","229","24/11/2022","20","100","24/11/2022 08:46:20","24/11/2022 08:46:20"
"227","230","24/11/2022","20","100","24/11/2022 09:58:41","24/11/2022 09:58:41"
"228","231","24/11/2022","20","100","24/11/2022 11:30:36","24/11/2022 11:30:36"
"229","232","24/11/2022","20","100","24/11/2022 11:32:02","24/11/2022 11:32:02"
"230","233","24/11/2022","20","100","24/11/2022 11:33:29","24/11/2022 11:33:29"
"231","234","24/11/2022","20","100","24/11/2022 11:35:00","24/11/2022 11:35:00"
"232","235","24/11/2022","20","100","24/11/2022 11:36:16","24/11/2022 11:36:16"
"233","236","24/11/2022","20","100","24/11/2022 11:37:25","24/11/2022 11:37:25"
"234","237","4/1/2023","26.3","137.5","24/11/2022 13:05:06","4/1/2023 14:40:09"
"235","238","24/11/2022","20","100","24/11/2022 13:53:32","24/11/2022 13:53:32"
"236","239","24/11/2022","20","100","24/11/2022 13:54:56","24/11/2022 13:54:56"
"237","240","24/11/2022","20","120","24/11/2022 16:49:46","24/11/2022 16:49:46"
